	000	001	002	003	004	005	006
YAL033W	-0.00390163	-0.000114648	0.00137135	-0.00686649	6.76577e-06	0.00149278	0.00405779
YAL034AW	-0.00363783	-0.00669902	0.000619516	-0.00401195	0.0125964	0.0127423	0.00682629
YAL034C	-0.00904482	-0.0220172	0.0131067	-0.0517028	-0.0157426	-0.0191751	0.014346
YAL035W	-0.0227348	0.00518629	-0.00855123	-0.0119181	0.0203417	0.0246571	-0.0376475
YAL036C	-0.00802105	0.0105819	0.0102975	-0.00588706	0.0115376	0.00230945	-0.00817239
YAL037W	-0.00160813	-0.00259729	-0.00108089	3.44203e-05	0.00212312	-0.00130469	-0.000839173
YAL038W	-0.0377286	0.0230145	-0.0285505	-0.0200293	-0.0149664	0.0363854	-0.00211641
YAL039C	-0.00476907	-0.00607949	-0.00675412	0.00107083	0.0106472	-0.000474711	-0.00415857
YAL040C	-0.00581614	0.00207267	0.0133632	-0.0039558	0.00817372	0.00430968	-0.00400336
YAL041W	-0.00667794	0.00476584	-0.00979849	-0.000840475	-0.0147597	0.0201019	-0.0408935
YAL042W	-0.00243076	-0.00101268	0.00301268	0.0002901	0.00876614	0.000128645	-0.00115746
YAL043C	-0.00469619	-0.00128888	-0.00618205	-0.00458067	-0.00160455	0.00320518	-0.0126855
YAL044C	-0.0110667	-0.000302598	-0.000912538	0.0118459	0.026896	-0.0186563	-0.0123904
YAL045C	-0.00303943	-0.00463347	-0.00445892	0.00211346	0.00805407	-0.00476513	-0.00529083
YAL046C	-0.00635505	0.00339868	-0.00455159	-0.00292334	-0.00122075	0.00701913	-0.0121392
YAL047C	-0.00216212	-0.0032507	-0.000648095	-0.0015758	0.0012976	-0.000260571	-0.00383779
YAL048C	-0.00411644	-0.00286487	0.00253219	-0.0117677	-0.00572933	-0.00381982	0.00208779
YAL049C	-0.0125862	-0.0213715	0.00848916	0.00367095	0.0270551	0.0130074	-0.0120237
YAL059W	-0.00466793	0.00130255	-0.00404309	0.00204968	0.00388108	-0.0055109	-0.00299997
YAL060W	-0.0179252	-0.0330244	0.0457193	-0.0247946	0.00299013	-0.00459547	-0.0119995
YAL061W	-0.00379286	-0.0102574	-0.00668545	0.00633498	0.0146011	-0.00350482	-0.00294968
YAL062W	-0.00681579	-0.00253008	-0.000627252	-0.0121429	-0.00909998	-0.000808415	-0.0117039
YAL063C	-0.00586036	-0.00113377	0.00350356	-0.00481748	-0.00449884	-0.000269084	-0.00707616
YAL064W	-0.0023345	-0.00512476	-0.00109783	-0.000164554	0.00477837	0.00545077	0.00152837
YAR007C	-0.0058633	-0.00101109	-0.00663037	0.0114479	-8.0374e-05	-0.000914194	-0.0103704
YAR008W	-0.00176126	0.000548489	-0.00100154	8.26405e-05	-3.55516e-05	0.0015472	-0.00392181
YAR009C	-0.0385225	0.0149613	-0.046688	0.00478788	-0.0398351	0.0262175	-0.0476754
YAR010C	-0.0482527	0.00896911	0.0118464	-0.00800822	-0.00759956	-0.0440683	-0.0215926
YAR014C	-0.00663555	-0.00186177	-0.0075881	-0.00169961	0.00368447	-0.00832661	0.00680031
YAR015W	-0.0181134	0.0160813	0.0446374	-0.0106358	0.0336381	-0.0224094	0.00143049
YAR018C	-0.00696046	-0.011669	-0.00184306	0.0138669	0.015608	0.00550799	0.00765573
YAR019C	-0.00606555	-0.0030906	0.00441783	-0.0180048	-0.00302593	-0.00275401	0.00144239
YAR020C	-0.00690515	-0.00142217	-0.00642103	-0.00199318	-0.00151965	-0.00230462	0.00410128
YAR023C	-0.00329537	-0.00425536	0.00219095	-0.00799858	0.00130007	0.000514279	0.000808267
YAR027W	-0.011808	-0.0252275	-0.00108374	0.0208648	0.0168276	0.000346217	0.0181561
YAR028W	-0.00950836	-0.00751296	0.0184848	-0.00569123	0.0149769	0.00731177	-0.00508562
YAR029W	-0.00297419	-0.00257006	-0.00310138	0.0020544	0.00191896	-0.00244447	0.000867335
YAR030C	-0.00342504	0.000207093	-0.00012263	-0.0100486	0.0045151	0.000637124	0.00397312
YAR031W	-0.00736754	-0.00944683	0.00247863	0.00718091	0.00243362	-0.00617659	0.0113009
YAR033W	-0.0110005	-0.00608935	0.0205727	-0.0208852	0.0179222	0.00435477	0.00751156
YAR035W	-0.00522164	-0.00126222	-0.00302172	0.00196138	-0.0006904	0.00265379	-0.00350708
YAR037W	-0.00326788	-0.00160503	-0.00165661	-5.90792e-05	0.00231842	0.00174962	-0.00238157
YAR040C	-0.0024126	-0.000602722	-0.000638917	0.000143376	0.00208008	0.00220987	-0.00133085
YAR042W	-0.00161391	-0.000572472	4.78808e-05	-0.00110449	0.00357662	-0.00147397	-0.00111604
YAR043C	-0.00289077	-0.00172547	-0.00194919	0.0013086	0.00137071	0.00403957	-0.00697356
YAR044W	-0.00565256	0.000766964	0.00311158	0.00608913	-0.0102525	-0.000878617	0.0158679
YAR047C	-0.0023903	-0.00211351	-0.0015964	0.00110158	-0.000409291	0.0031462	-0.00195815
YAR050W	-0.00887689	-0.00230952	0.0076166	-0.00793002	-0.0026355	0.00191495	-0.00584709
YAR052C	-0.00533293	-0.00241609	-0.000980858	0.00131956	-0.00741616	0.00596589	-0.0119081
YAR053W	-0.00241774	-0.000708496	-0.000720531	-0.000437676	-0.000172188	-0.00159661	-0.00136961
YAR060C	-0.00420213	0.00358639	-0.00855027	0.00158826	-0.0168368	0.0227488	-0.0321889
YAR061W	-0.00189251	-0.00117139	-0.000579324	-0.00152765	-2.21962e-05	-0.00144109	-0.00115872
YAR062W	-0.00373349	-0.00330877	0.000793433	-0.00268445	-0.000360181	-0.00271189	0.00528755
YAR064W	-0.00523994	-0.000306988	-0.00623843	-0.0192356	0.00309715	0.00131797	0.0113775
YAR068W	-0.00589993	-0.00512172	0.00153917	0.00178229	0.00284525	-0.0035277	0.00868938
YAR069C	-0.00323961	-5.2101e-05	-0.0036951	-0.0098781	0.00160129	0.000292981	0.00485131
YAR070C	-0.00587882	0.000111002	-0.00923484	-0.0168359	0.000876447	-0.00450093	0.0183573
YAR071W	-0.0186564	0.0321282	0.0537782	-0.0113139	0.0350474	0.0145914	-0.0292547
YAR073W	-0.0284602	0.0219356	0.0236218	0.0374557	0.00483071	-0.0331988	0.0392791
YAR074C	-0.00995307	0.0107223	-0.00053888	-0.012342	0.00513555	0.00668893	-0.0170237
YBL001C	-0.014894	-0.0187887	0.022262	0.00976762	0.00567424	-0.00297614	0.0297201
YBL002W	-0.0463254	0.00519751	0.0401155	-0.0227731	-0.0311987	0.00922862	-0.0242509
YBL003C	-0.0256356	-0.00582459	0.0107384	0.0324566	0.005109	-0.0105703	0.0411583
YBL004W	-0.017081	0.00381317	0.000483737	-0.0254531	0.010947	0.0208876	-0.000615721
YBL005W	-0.0587869	0.0154821	-0.0387404	0.0193098	-0.0227527	-0.00291534	4.19661e-05
YBL005W-A	-0.0500285	0.00972085	0.00695699	-0.00751795	-0.0290178	-0.0643463	-0.0173205
YBL005W-B	-0.00437449	-0.00100866	0.00383937	0.0028915	-0.00142224	0.00516125	-0.000602655
YBL006C	-0.00360629	-0.00167565	-0.00146879	0.000580763	0.00548266	-0.00648655	-0.00541211
YBL007C	-0.00774924	-0.00656403	0.000812205	0.00830714	0.00595224	0.00191938	-0.00337488
YBL008W	-0.00483505	0.000524126	0.00267495	-0.00437673	0.00374228	0.00553642	-0.00127207
YBL009W	-0.00361812	-0.00182083	0.00356955	0.00182069	0.00347641	0.00832307	0.000654681
YBL010C	-0.00183359	-0.00256229	0.00344308	-0.00242754	0.00150384	-0.000980533	0.000469939
YBL011W	-0.00590968	-0.00383839	0.00538888	0.00285016	0.00289533	0.00768827	0.00136006
YBL012C	-0.00433754	0.000540516	0.00176496	-0.0043032	0.000793114	-0.00179251	-0.00356305
YBL013W	-0.00153524	-0.00103423	0.000740911	0.000281781	0.00467441	0.00272375	-0.00147578
YBL014C	-0.0037281	0.000571585	0.00187328	-0.00494279	0.00118441	0.00141201	-0.00389015
YBL015W	-0.0137482	-0.0766324	0.0455112	-0.0397003	-0.0633724	-0.0407828	-0.0281024
YBL016W	-0.00450282	0.000945495	0.00752037	-0.00869621	0.0117854	-0.00178927	-0.00142231
YBL017C	-0.0118438	-0.0083624	-0.00123669	-0.00658738	-0.0126318	-0.00922158	0.0194853
YBL018C	-0.00462148	0.00372041	0.00714245	-0.00691179	0.00840553	-0.000381794	-0.00179808
YBL019W	-0.00261939	-0.00229767	0.00293775	-0.00407635	0.00412496	0.00020406	0.00643374
YBL020W	-0.00944903	0.00969643	0.0370978	-0.00586221	0.0219448	-0.00546766	-0.0115311
YBL021C	-0.00450352	-0.00207372	-0.0017493	-0.00448818	0.00144392	0.00179835	0.00684013
YBL022C	-0.00848955	-0.00190797	0.00154897	-0.00562856	0.00985971	-0.00598903	-0.0120996
YBL023C	-0.003409	0.000157674	0.00167453	-0.00164748	0.00311037	0.000259477	0.00613867
YBL024W	-0.00958397	0.0154352	0.0227063	-0.00325631	0.0170161	0.0077978	-0.0227814
YBL025W	-0.00345359	-0.000769964	0.000122683	-0.00376024	0.000781839	0.00221059	0.0100738
YBL026W	-0.0055024	0.000977184	0.00389812	-0.00539772	0.00707408	0.004441	0.000434495
YBL027W	-0.0151399	0.0116518	0.0120235	0.0127811	-0.00412643	0.0018656	0.0322525
YBL028C	-0.00671172	0.00725626	0.00686557	-0.00613937	0.00707557	0.00083952	-0.009548
YBL029W	-0.00443993	-0.00502628	0.00279446	0.000279743	0.000986269	0.00599341	0.00223044
YBL030C	-0.029379	-0.0148903	0.0533233	-0.0332334	-0.0139801	-0.0797781	-0.0723812
YBL031W	-0.00236614	-0.00676538	0.00348572	-0.000456274	0.00489177	0.00743917	0.0024515
YBL032W	-0.0106785	-0.00210998	-0.00156651	-0.00776909	-0.00645132	-0.00173346	-0.01268
YBL033C	-0.00752256	-0.0119361	0.00139493	0.000410272	0.000642572	0.0102348	-0.00802417
YBL034C	-0.00331874	-0.000656579	-0.00394933	-0.000553107	0.00121862	-0.0025213	-0.00588532
YBL035C	-0.00295337	-0.00233914	0.0052671	0.000555316	0.004735	0.00469202	0.000851412
YBL036C	-0.00321212	-0.00161594	0.00467676	-0.00280547	0.00363899	-0.00215994	-0.00282605
YBL037W	-0.00289261	-0.00326367	0.00373719	8.52621e-05	0.00193536	0.00366134	-0.000421495
YBL038W	-0.00616749	-0.00951879	0.00397002	-0.00447569	-0.00263927	-0.00360648	-0.00558489
YBL039C	-0.0180832	0.0166937	0.033295	0.0017012	0.00981455	-0.000288242	0.01291
YBL040C	-0.0149976	0.00912456	0.0211541	-0.00210313	0.0157835	0.0017959	-0.0175969
YBL041W	-0.00974261	-0.00234576	0.0247781	0.00162989	0.00803424	0.0016871	0.0192284
YBL042C	-0.0136692	0.0059002	0.0357563	-0.00283146	0.0238157	-0.0216454	-0.020975
YBL043W	-0.00452172	-0.0176658	0.00650573	-0.0140056	-0.00890994	-0.000982213	0.00261824
YBL044W	-0.00253014	-0.000709594	-0.00302049	-0.00602263	0.00174613	-0.000797865	0.00287122
YBL045C	-0.015571	-0.0461995	0.0574846	-0.0168524	-0.0328463	-0.0231726	0.00109611
YBL046W	-0.00457912	-0.00145116	-0.000227215	-0.00649612	0.00620919	0.00437348	-0.00105563
YBL047C	-0.00742874	-0.00620652	0.00219512	-0.0206234	-0.00187313	-0.00173791	0.0264992
YBL048W	-0.00546783	-0.0272849	0.00919252	-0.016454	-0.00960144	-0.0013467	-0.00438047
YBL049W	-0.00534764	-0.0227513	0.0116404	-0.0197734	-0.0142525	-0.00528621	3.56986e-05
YBL050W	-0.00943353	-0.0166517	0.010512	0.00118998	0.0127034	0.0194302	-0.00130317
YBL051C	-0.00554541	-0.00048411	0.0042776	0.00229379	0.000659468	0.0104396	-0.00968518
YBL052C	-0.00367562	0.0016847	-0.00104304	-0.00283143	-0.000893792	-0.000100839	-0.00402943
YBL053W	-0.00307481	-0.00194344	0.000529186	0.000838529	0.00156569	0.00359667	-0.00316023
YBL054W	-0.00541099	0.00586423	0.00253444	-0.00656724	-0.00258311	0.0085353	-0.01607
YBL055C	-0.0031542	-0.00424044	0.00749636	-0.000106747	0.0060056	0.00466492	0.00273786
YBL056W	-0.00648477	-0.000314271	0.00892612	-0.00652985	0.00221585	-0.00636538	-0.00198945
YBL057C	-0.00361281	-0.00631358	0.00567002	-0.000273241	0.00597076	0.00842496	0.00439452
YBL058W	-0.00374014	-0.00410286	0.00455031	-0.00426535	0.00823899	-0.00377851	-0.00257334
YBL059W	-0.00260725	-0.006063	0.00226004	-0.000200217	0.00117604	0.00421887	0.000978228
YBL060W	-0.00258835	-0.00177361	0.00172872	-0.00238735	0.000285758	-0.00160184	-0.0021399
YBL061C	-0.00455925	-0.00224094	0.00596144	0.00103262	0.00918066	0.00903996	-0.00195182
YBL062W	-0.00412743	-0.000220876	0.000355801	-0.00276479	0.00135201	-0.00049155	-0.0054384
YBL063W	-0.00819288	0.00333748	-0.00666341	-0.0233773	-0.00249453	-0.0013604	0.0253326
YBL064C	-0.0158374	-0.0619256	0.0315928	-0.00663795	0.00471784	0.0397904	-0.00960715
YBL065W	-0.00926643	0.00108808	-0.0070843	-0.0301226	-0.00605856	-0.00496349	0.022261
YBL066C	-0.00832796	-0.00869406	-0.00230222	-0.0196542	0.000726725	0.00214107	-0.000497904
YBL067C	-0.00468109	0.00158777	0.0124442	-0.00574762	0.00644747	-0.00148822	0.00537587
YBL068W	-0.00930279	0.00828685	0.0164482	-0.00457458	0.0102288	0.00934472	-0.0189634
YBL069W	-0.00470755	-0.00283545	0.0132102	-0.013166	0.00203347	-0.00812082	0.00443813
YBL070C	-0.00453119	0.00080406	-0.00426314	-0.0150481	0.0045992	-0.00136934	0.00756079
YBL071C	-0.00591999	0.00273547	0.00386141	-0.0151125	0.00518196	0.00168582	0.0113762
YBL072C	-0.05645	0.0120629	-0.0145627	0.0244882	0.0249529	0.00787372	0.00606927
YBL073W	-0.00327571	-0.000936639	-0.00371823	-0.0146124	0.00176192	-0.00198808	0.011544
YBL074C	-0.00409923	-0.00189767	0.00130619	-0.00442343	0.00306558	0.00870982	-0.00280506
YBL075C	-0.00930867	-0.0291137	0.0145759	-0.00724506	-0.0246898	0.00111576	0.00122705
YBL076C	-0.0186316	0.0201135	-0.0153634	-0.0184147	-0.0106832	0.0107987	-0.0286348
YBL077W	-0.00894277	0.0102021	0.0237346	0.00541777	0.0136186	0.001362	-0.000170265
YBL078C	-0.00433686	-0.0184006	0.00309878	-0.00133083	0.00276337	0.0094718	-0.00133462
YBL079W	-0.00870785	0.00332333	-0.00307114	-0.00364841	-0.00357199	0.0095007	-0.0160795
YBL080C	-0.00234112	-0.00453921	0.000449193	-0.00174913	0.00285892	-0.00106767	0.000169765
YBL081W	-0.00400872	-0.00235873	0.00945841	-0.00257174	0.00565745	0.00395707	0.000347265
YBL082C	-0.00376297	-0.001975	0.00362647	-0.00341261	0.0111328	-0.00353638	-0.00303263
YBL083C	-0.00490416	0.00301354	0.011205	-0.000459446	0.0140426	0.000235222	-0.0079371
YBL084C	-0.00480697	-0.00479711	-0.00305832	-0.00529303	-0.00346876	0.00368223	-0.00891837
YBL085W	-0.0058366	-0.00108632	-0.00102751	-0.00205426	-0.000663158	0.00565408	-0.00323097
YBL086C	-0.00276276	-0.00856662	0.000610229	-0.000290312	0.00377805	0.00542115	-0.000962545
YBL087C	-0.0161034	0.0127606	0.0297207	-0.00372669	0.00757746	-0.00584183	0.0358895
YBL088C	-0.00496364	0.0018924	-0.00580212	-0.0175238	0.00595113	0.0026154	0.00989659
YBL089W	-0.00631437	-0.00234484	0.0133894	-0.0108958	-0.000998271	-0.00897765	0.00617436
YBL090W	-0.00554378	-0.0118116	0.000152107	-0.00442811	0.00620266	0.00603862	-0.00244629
YBL091C	-0.00790651	0.00307376	0.031016	-0.00566349	0.0233702	0.000203648	0.00697182
YBL092W	-0.022314	-0.000786528	-0.022747	0.00369357	-0.00161715	0.00687808	-0.0628646
YBL093C	-0.00648807	-0.00181426	0.0066932	-0.0106576	-0.00296992	-0.00165809	0.00513635
YBL094C	-0.00375905	-0.00552361	-0.00174245	-0.00344205	0.00503631	0.00352929	-0.000577239
YBL095W	-0.00438787	-0.00445851	0.00708293	-0.0115165	0.00152816	-0.00110956	0.00527876
YBL096C	-0.00722361	-0.0182627	-0.00177452	0.000860476	0.0174016	0.0191256	-0.00152148
YBL097W	-0.00336909	-0.00136995	0.000782637	-0.0117197	-0.000371574	-0.00272343	0.00635031
YBL098W	-0.00620414	-0.00363686	0.0034771	0.00265271	0.00968239	-0.0165688	-0.0114313
YBL099W	-0.0337181	-0.041933	0.0748823	-0.0213747	-0.0395595	-0.0721332	-0.0321416
YBL100C	-0.0124053	-0.029119	0.00580963	-0.0091564	-0.0134379	-0.0107432	-0.0186628
YBL101C	-0.0101966	-0.00229845	-0.0037458	-0.00486078	-0.00800998	0.012615	-0.00583673
YBL101W-A	-0.0209979	0.00595695	-0.0131253	-0.0317045	-0.0238727	0.0152458	-0.0115857
YBL101W-B	-0.0495057	0.0247816	-0.0364088	-0.0301006	-0.055605	0.0372261	-0.0183414
YBL102W	-0.00959454	-0.0214522	-0.00359192	0.00268886	0.0152053	0.0213707	-0.00490989
YBL103C	-0.00244586	-0.00288904	0.00439935	-0.000665797	0.00242756	0.00239654	0.00311079
YBL104C	-0.00616669	-0.00104302	-0.0106524	-0.0144024	0.00437295	-0.00192982	0.00235165
YBL105C	-0.00773727	-0.003173	0.00196944	-0.00555504	0.000912138	0.00925224	-0.00123178
YBL106C	-0.00699243	-0.00184205	-0.00728521	-0.00500102	-0.000690738	-8.7426e-05	-0.0144234
YBL107C	-0.00598779	-0.00649434	0.00801292	-0.00505418	-0.00326555	-0.00395335	-0.00600418
YBL108W	-0.0148458	-0.0352739	-0.000948476	-0.0112592	-0.00154361	-0.0301652	-0.0244837
YBL109W	-0.00563464	-0.00189137	0.00733388	-0.0146993	-0.00819011	-0.0096631	0.00577123
YBL110C	-0.0134862	-0.00134398	0.00838822	-0.00896718	2.07242e-05	-0.00953008	-0.0305655
YBL111C	-0.0156657	0.00703577	0.0251326	-0.0240645	-0.00126111	-0.0101571	-0.00162369
YBL112C	-0.0241082	-0.015265	0.00447686	0.0123264	-0.00307498	-0.0216718	-0.0490566
YBL113C	-0.0287195	-0.00344141	-0.0248016	0.0424706	0.00743793	-0.0679511	0.00518897
YBR001C	-0.00560569	-0.0111158	0.0175625	-0.00835011	-0.00904748	-0.0107346	-0.00697161
YBR002C	-0.00402671	-0.00240974	-0.00100648	0.00398026	0.000651564	-0.00203357	-0.000341959
YBR003W	-0.0071523	-0.00656921	0.0202873	-0.00640403	0.000144077	-0.00447154	-0.00646565
YBR004C	-0.00535324	-0.00202449	-0.00107606	0.0110557	0.00402753	-0.00992615	0.00494885
YBR005W	-0.00371911	-0.00273377	0.00563496	-0.00246251	0.0113652	-0.00564863	-0.00248825
YBR006W	-0.00441821	-0.00941181	0.00332879	0.00758084	-0.00276159	-0.00549928	0.00807496
YBR007C	-0.00315945	0.00134866	0.00778027	-0.00252829	0.00532067	-0.000627848	-0.00275147
YBR008C	-0.00410397	-0.00134789	0.00796276	-0.00294763	0.004866	0.00241919	-5.12936e-05
YBR009C	-0.0178805	-0.0135252	-0.0257952	0.00575991	0.0226621	-0.00882447	-0.0258756
YBR010W	-0.0306231	-0.00445948	0.00645308	-0.0134372	0.00503464	0.0342421	-0.00520229
YBR011C	-0.022624	-0.0228286	-0.0316834	0.00773242	0.0191738	0.0538014	-0.0370963
YBR012C	-0.00383832	-0.000282752	-0.00284647	0.00371491	0.000501521	0.00564327	-0.00777778
YBR012W-A	-0.0446951	0.0234366	0.00956756	-0.0126227	-0.0144237	-0.0514954	-0.0327666
YBR012W-B	-0.0709896	-0.0169793	-0.0277679	0.0301128	0.000451143	0.0289039	0.011714
YBR013C	-0.00317325	-0.000180122	0.00110239	-0.000434311	0.00205934	-0.00298978	-0.00272704
YBR014C	-0.00491268	-0.00735038	-0.00351343	0.00841551	0.00220347	0.0061964	0.00118911
YBR015C	-0.0100124	0.00862173	0.0192176	-0.00922205	0.0113282	-0.00599571	-0.00782374
YBR016W	-0.00841532	-0.00852672	-0.00841802	0.0096421	0.00524598	0.0167994	-0.0156214
YBR017C	-0.0138131	0.00856692	-0.00546581	-0.00815135	-0.00191664	0.00637947	-0.0194745
YBR018C	-0.00218682	-0.00585359	0.000670857	0.000877394	0.00257849	0.00531049	0.000350807
YBR019C	-0.00255782	-0.0028952	0.00662733	-0.00394125	0.00152772	-0.00161061	-0.00244328
YBR020W	-0.0159796	-0.0108817	-0.0083326	0.0148411	-0.0080812	0.000746504	0.00399316
YBR021W	-0.00574528	-0.00755359	0.026324	-0.0138404	-0.00647233	-0.0210516	-0.0158265
YBR022W	-0.0040148	-0.00277305	-0.000636755	0.00496009	-0.000153967	-0.000891773	0.00271003
YBR023C	-0.0115124	-0.00535675	0.0166731	-0.0261302	-0.0232673	-0.0202093	-0.0237238
YBR024W	-0.0033594	-0.00888847	0.000439602	0.00251258	0.00281388	0.00781512	0.00450136
YBR025C	-0.029138	0.00726323	0.0857753	-0.0372602	-0.0220066	-0.0170558	-0.0606712
YBR026C	-0.00547206	-0.0140463	0.0071889	0.00377637	-0.000450392	0.00315029	0.0107679
YBR027C	-0.00402802	-0.00152052	0.00467856	-0.0049341	-0.00196388	-0.00217627	-0.00562843
YBR028C	-0.00646782	0.000219709	-0.000191112	-0.00149245	0.00211116	-0.0037001	0.0181778
YBR029C	-0.013826	0.00378827	0.00215031	-0.0298418	0.008088	0.00579575	0.0129857
YBR030W	-0.00327982	-0.00445643	0.00323667	0.00199492	0.0018942	0.00411217	0.00148806
YBR031W	-0.0448055	0.040681	0.000465719	-0.0011594	0.0377428	-0.052153	-0.0280084
YBR032W	-0.0322437	0.0131896	-0.0381717	0.0228107	-0.00309374	0.00446566	-0.0204766
YBR033W	-0.00943716	-0.00236676	0.00427833	-0.010028	0.000436296	-0.00587704	-0.00588548
YBR034C	-0.00672531	0.000454253	0.00667936	0.00200117	0.00296645	0.0118249	0.0011273
YBR035C	-0.00489446	-0.00353936	0.00484331	-0.000148676	0.00167346	-0.00659376	-0.00315219
YBR036C	-0.00905705	-0.0105793	0.0124745	0.00704874	0.00522094	0.00855195	0.0180368
YBR037C	-0.00435154	-0.00424847	0.00538991	-0.00184048	-5.73717e-05	-0.00655259	-0.00145167
YBR038W	-0.0121835	-0.000611356	-0.00611143	0.00219439	-0.0086933	0.0161548	-0.0135809
YBR039W	-0.00687462	-0.0112056	0.0176878	-0.00939724	-0.0083735	-0.0149433	-0.0117044
YBR040W	-0.00215864	-0.00439652	0.000716495	0.00125633	0.00257799	0.00588604	0.00366183
YBR041W	-0.0130075	2.7129e-05	0.000407928	-0.00903208	-0.00930085	-0.00741355	-0.0104856
