	000	001	002	003	004	005	006
YHR007C	-0.0229667	0.00544194	0.0289505	0.0317408	0.00280868	-0.0404606	0.0235514
YBR218C	-0.0214469	-0.0172929	0.0287288	-0.0561124	-0.0500669	-0.0264927	-0.0523727
YAL051W	-0.0116168	-0.00666982	0.00453766	0.00333714	0.000581853	-0.0096837	0.0182124
YAL053W	-0.0109438	0.00512047	0.00381796	-0.0210818	0.00229853	-0.00120472	-0.00613273
YAL054C	-0.004502	-0.026105	0.0183748	-0.0224018	-0.0322277	-0.0301261	-0.0160044
YAL055W	-0.00250772	-0.00270382	0.000614493	-0.00513491	0.000760019	-0.00218183	0.000420725
YAL056W	-0.00834067	-0.00757721	0.0044055	-0.0146472	-0.00382823	0.000965129	0.0198723
YAL058W	-0.00434038	0.00103275	0.00248772	-0.0077486	0.0079519	-0.000268727	0.000454515
YOL109W	-0.0249187	-0.0331333	0.023475	-0.0233021	-0.0094549	0.00475927	-0.0252371
YAL065C	-0.00316212	-0.00191691	0.00134451	0.0024758	-0.000649727	0.0022006	-0.00433614
YAL066W	-0.00156539	-0.00153624	-0.00146417	-0.00219381	0.00120369	-0.000754469	0.00096355
YAL067C	-0.00120066	-0.00289088	4.599e-05	-9.2468e-05	0.00244858	0.00243499	-7.55798e-05
YAR002AC	-0.00787911	-0.00233932	0.00342124	-0.0118442	-0.00305203	0.00382916	0.00557723
YAR002W	-0.00476518	0.00224662	0.00573493	0.00468184	0.00414666	0.00362781	-0.00418947
YAR003W	-0.00506912	-0.0117067	0.0170023	-0.0170441	-0.0222043	-0.0247351	-0.0185429
YAL001C	-0.0067428	-0.000397975	-0.00627815	-0.0262695	0.00356996	-0.00491693	0.0349702
YAL002W	-0.00708026	-0.00475143	0.00369775	-0.0129272	-0.000678043	-0.00358017	-0.0018592
YAL003W	-0.0342765	0.0344382	0.0301699	-0.00297276	-0.00225907	0.0153534	0.00771862
YAL004W	-0.0466642	-0.0242464	0.0121273	-0.0312463	-0.0109589	-0.0216423	-0.0314835
YAL005C	-0.0582629	-0.0276853	0.0368233	-0.0169543	-0.0852616	-0.0205242	0.0490035
YAL007C	-0.0197055	0.00348147	0.0221705	-0.0127954	0.0260482	0.00220204	-0.0141178
YAL008W	-0.0107325	-0.0161605	0.0193856	-0.0130541	0.00112322	0.00202044	0.0194809
YAL009W	-0.00758211	-0.00410032	-0.00255537	-0.0111508	0.0122505	0.0125417	0.00851625
YAL010C	-0.0035083	0.00033607	-0.00135728	-0.01777	0.00776044	-0.000363394	0.0160953
YAL011W	-0.00363657	-0.000384252	0.000210572	-0.00581678	0.00504325	0.00118497	-0.00340565
YAL012W	-0.020084	0.0267908	0.0551937	-0.00470121	0.0410704	0.0107787	0.000506299
YAL013W	-0.00149904	-0.000899672	0.00048665	-0.00134139	0.00480463	0.000282678	7.84987e-05
YAL014C	-0.00430796	-0.000683128	-0.000434517	0.0010478	0.00117123	0.00584222	-0.00541747
YAL015C	-0.00240481	-0.00253965	-0.00183126	-0.00078738	0.00240615	0.000763732	-0.00288757
YAL016W	-0.00965736	-0.000567902	0.0153275	0.00138934	0.00169604	0.00135118	-0.00270767
YAL017W	-0.00442444	-0.00683511	-0.000463843	-0.00425817	-0.00416232	-0.00732064	-0.00376327
YAL018C	-0.000917812	-0.00166174	-0.000346004	0.000305023	0.00216883	0.000824896	-0.000504917
YAL019W	-0.00620891	0.00179509	-0.00249108	-0.00815984	-0.00126933	0.00104348	-0.00800726
YAL020C	-0.00610171	-0.00130528	-0.00236998	-0.00322423	0.00105827	0.00581618	-0.0017248
YAL021C	-0.0146859	-0.006212	-0.0046193	-0.0181977	0.00155735	0.0128432	0.00141868
YAL022C	-0.00452932	0.00101001	0.00817574	-0.000444685	0.0153197	-0.00240084	-0.0017227
YAL023C	-0.0155456	0.0101061	-0.0111279	-0.00931439	-0.00115206	0.00094194	-0.0276016
YAL024C	-0.00315573	-0.000546702	0.00146811	0.00135832	-0.000583926	0.00371222	-0.001749
YAL025C	-0.00741143	0.00912697	-0.00785631	-0.0105491	-0.00442712	0.0100253	-0.0155638
YAL026C	-0.0247654	-0.0396494	0.0231784	0.00251669	-0.0196529	0.0101134	0.0400854
YAL027W	-0.00628972	-0.00267866	-0.00130594	-0.0186574	0.0108024	0.00491819	0.014393
YAL028AW	-0.00340875	-0.00176095	-0.00429625	-0.0146518	0.000166891	-0.00148021	0.011812
YAL028W	-0.0188117	-0.0284083	0.000501873	-0.0127878	-0.000691855	0.0242243	-0.017507
YAL029C	-0.00928845	0.00618868	0.00265985	-0.0250559	0.00293599	-0.00695318	0.0291915
YAL030W	-0.00851021	-0.0142272	0.00674031	-0.0044418	0.01182	0.0223091	0.00405799
YAL031C	-0.00815488	-0.010899	0.00905263	-0.00953325	-0.00382505	0.00417585	0.00768942
YAL032C	-0.00355534	-0.0032148	0.00446516	-0.00292437	0.00695965	0.000758832	-0.00379739
