	9.0	11.0	13.0	15.0	17.0	19.0	21.0
YHR007C	6741	5500	13356	13446	8939	5154	5509
YBR218C	11070	9483	8998	3944	3739	4603	16293
YAL051W	3338	4485	4581	5665	4213	4543	3570
YAL053W	5323	6346	5547	2423	2511	2176	3152
YAL054C	460	1104	572	587	851	2196	9822
YAL055W	794	1422	909	516	806	1044	1258
YAL056W	2262	4990	2888	3190	1417	3771	3685
YAL058W	1571	2552	2545	793	1193	1328	999
YOL109W	10071	8456	9976	6363	6708	12368	13405
YAL065C	1612	650	1292	1164	1111	1397	945
YAL066W	546	929	381	371	666	716	522
YAL067C	358	377	359	225	466	1062	445
YAR002AC	3273	4231	3205	2546	1459	2829	2805
YAR002W	2286	1032	3058	1901	1379	1520	623
YAR003W	1674	1451	2354	940	1013	772	7028
YAL001C	1115	7207	1779	2217	1150	2033	1873
YAL002W	2728	3690	2934	1647	1899	2516	3317
YAL003W	16973	13805	20293	14940	6782	6118	4566
YAL004W	20447	18844	18306	14300	15896	16095	17936
YAL005C	23405	22560	21229	28097	13966	19146	23954
YAL007C	8023	7785	12431	5055	5492	6260	4898
YAL008W	2001	4578	5192	3935	1633	6152	5946
YAL009W	2845	4573	2889	1651	1947	4086	1410
YAL010C	477	4071	1508	459	384	1189	903
YAL011W	1638	1950	1754	518	1160	1299	946
YAL012W	7266	6846	19119	6952	2392	3946	2254
YAL013W	413	731	826	223	615	777	302
YAL014C	2420	1372	1734	1327	1404	1786	792
YAL015C	1096	952	686	492	1132	1244	700
YAL016W	3852	2681	5850	3833	2261	3263	3048
YAL017W	1667	1785	1031	1263	1939	1823	2630
YAL018C	297	286	298	183	466	678	256
YAL019W	3570	3211	2401	1435	1906	1434	1587
YAL020C	3088	2761	2133	1850	1891	2420	1310
YAL021C	6864	7756	4906	3933	3974	6098	4161
YAL022C	1148	1547	3699	1050	1651	1632	779
YAL023C	9790	7138	6076	4054	5830	2777	2442
YAL024C	1614	908	1391	1237	849	1274	721
YAL025C	5717	4181	2755	1528	1849	881	634
YAL026C	6864	7811	8089	11980	6009	14673	11943
YAL027W	1724	5083	2536	1091	1247	2913	1653
YAL028AW	921	3534	610	715	665	1174	1307
YAL028W	8617	6774	5364	4372	5753	11371	8096
YAL029C	2576	7625	4500	3376	1372	1584	2295
YAL030W	2852	3040	3519	2056	1772	6593	2938
YAL031C	2530	3480	3210	2807	1459	4353	4221
YAL032C	1159	1258	2095	576	1166	1817	1350
YAL033W	1555	2334	1699	1207	714	1262	1198
YAL034AW	823	1901	1479	527	848	3386	712
YAL034C	1151	7781	2579	826	543	4014	9689
YAL035W	13228	9661	9961	4713	7830	7715	3226
YAL036C	3957	3461	6061	2109	1770	1138	848
YAL037W	518	590	420	397	910	919	588
YAL038W	22208	19263	13002	13662	10510	9367	4011
YAL039C	1843	1895	1169	909	2968	2801	940
YAL040C	2256	1955	4594	1561	853	1892	1590
YAL041W	7350	1639	1572	908	1951	1394	1030
YAL042W	621	780	1709	484	1019	1231	432
YAL043C	3186	2124	1098	723	1928	1566	1258
YAL044C	3915	3149	5882	3375	6883	3512	1411
YAL045C	1042	972	769	505	2374	1696	767
YAL046C	4296	2717	2367	1631	2054	1599	855
YAL047C	939	794	631	349	984	1158	968
YAL048C	1539	2630	1458	1084	688	1161	2460
YAL049C	4032	3022	5732	2560	5209	8982	4364
YAL059W	2185	1892	1762	1651	2498	1101	569
YAL060W	4317	5256	10345	4039	3297	10179	12815
YAL061W	781	888	614	706	3354	3248	896
YAL062W	3916	3348	2173	1478	1816	1823	3149
YAL063C	2995	2252	2574	1781	1531	1681	2297
YAL064W	721	883	576	516	900	2049	664
YAR007C	3446	1077	1600	2491	3389	2049	648
YAR008W	1156	612	676	472	656	504	269
YAR009C	25888	15679	9739	14291	14313	9362	5266
YAR010C	21878	18998	21880	18250	17587	10702	13156
YAR014C	2410	3533	1761	2535	3312	2135	1324
YAR015W	5040	6971	15885	5995	4268	2862	4452
YAR018C	1710	1391	2267	2966	3761	5292	1118
YAR019C	2287	3941	2599	1207	970	1840	3208
YAR020C	3107	3420	1801	2706	2783	2260	1502
YAR023C	1043	1885	1302	548	726	1661	1754
YAR027W	2218	2419	3142	5537	6325	9038	3602
YAR028W	2986	2928	6236	2231	2114	4954	3664
YAR029W	1113	1110	708	1164	1649	1340	674
YAR030C	1200	2636	1577	545	729	1108	929
YAR031W	1728	2134	2514	3704	3237	3882	2565
YAR033W	2743	5591	7246	2268	1672	5018	4463
